Master List of stations from stndata files. This is a template for the
GHCND data extraction/processing program.

Column 2 specifies which data can be extracted for each station.
The interpretation of this string of characters is:
  position 1 = TMIN
  position 2 = TMAX
  position 3 = PREC
  position 4 = TAVG
  position 5 = DEWP
  position 6 = WIND
  position 7 = CLDC
e.g. We may want to use everything EXCEPT precipitation, in which case
the string will be YY.YYYY
Y (upper or lower case) means yes (use it) while anything else means no.
A dot is used for no in hopes of making it easier to visualize at a glance.

The station name is also for user convenience and is not used.

The excluded years section for each station is usually blank, but in
some cases the station is one that we want to use except for a specific
period(s) during which it had obvious bad data.
If there are multiple periods they need to be separated by semicolons
Note that if an excluded period is specified it will apply to ALL data types.

station_id,   Latitude,  Longitude, UseData, station_name,              excluded_years
CA006134390 ,    42.050,   -82.633, YYY...., LEAMINGTON               , 
CA006134610 ,    42.550,   -80.050, YYY...., LONG POINT               , 
CA006135573 ,    42.833,   -80.050, ..Y...., NANTICOKE ESSO           , 
CA006135583 ,    42.517,   -81.633, YYY...., NEW GLASGOW              , 
CA006135638 ,    43.133,   -79.083, YYY...., NIAGARA FALLS            , 
CA006135657 ,    43.133,   -79.050, YYY...., NIAGARA FALLS NPCSH      , 
CA006135660 ,    43.083,   -79.083, YYY...., NIAGARA FALLS ONT HYDRO  , 
CA006136335 ,    41.750,   -82.683, YYY...., PELEE ISLAND             , 
CA006136606 ,    42.883,   -79.250, YYY...., PORT COLBORNE            , 
CA006136626 ,    43.183,   -79.267, YYY...., PORT DALHOUSIE           , 
CA006136643 ,    42.783,   -80.217, YYY...., PORT DOVER               , 
CA006136694 ,    42.667,   -81.217, YYY...., PORT STANLEY             , 
CA006137147 ,    42.450,   -81.883, YYY...., RIDGETOWN                , 
CA006137154 ,    42.450,   -81.883, YYY...., RIDGETOWN RCS            , 
CA006137161 ,    43.050,   -79.333, YYY...., RIDGEVILLE               , 1949-1969;2006-2019
CA006137287 ,    43.200,   -79.167, YYY...., ST CATHARINES A          , 
CA006137301 ,    43.183,   -79.233, YYY...., ST CATHARINES CDA        , 
CA006137306 ,    43.117,   -79.250, YYY...., ST CATHARINES POWER GLEN , 
CA006137361 ,    42.783,   -81.167, YYY...., ST THOMAS                , 
CA006137362 ,    42.767,   -81.200, YYY...., ST THOMAS WPCP           , 
CA006137399 ,    42.700,   -80.450, YYY...., ST WILLIAMS              , 
CA006137730 ,    42.850,   -80.267, YYY...., SIMCOE                   , 
CA006137735 ,    42.867,   -80.333, YYY...., SIMCOE                   , 
CA006138269 ,    42.867,   -80.733, YYY...., TILLSONBURG NORTH        , 
CA006138270 ,    42.850,   -80.717, ..Y...., TILLSONBURG WWTP         , 
CA006139141 ,    43.150,   -79.417, YYY...., VINELAND                 , 
CA006139142 ,    43.133,   -79.383, YYY...., VINELAND BALLS FALLS     , 
CA006139143 ,    43.167,   -79.417, YYY...., VINELAND RITTENHOUSE     , 
CA006139145 ,    43.183,   -79.400, YYY...., VINELAND STATION         , 
CA006139148 ,    43.183,   -79.400, YYY...., VINELAND STATION RCS     , 
CA006139265 ,    42.583,   -82.400, YYY...., WALLACEBURG              , 
CA006139356 ,    42.883,   -80.233, ..Y...., WATERFORD                , 
CA006139445 ,    43.000,   -79.267, YYY...., WELLAND                  , 2007-2015
CA006139520 ,    42.333,   -82.933, YYY...., WINDSOR RIVERSIDE        , 
CA006139525 ,    42.283,   -82.950, YYY...., WINDSOR A                , 
CA006139600 ,    42.217,   -82.733, YYY...., WOODSLEE CDA             , 
CA00613FN58 ,    41.950,   -82.517, YYY...., POINT PELEE              , 
CA006140348 ,    43.817,   -80.567, YYY...., ARTHUR                   , 1987-1989
CA006140941 ,    43.133,   -80.267, YYY...., BRANTFORD                , 
CA006140954 ,    43.133,   -80.233, YYY...., BRANTFORD MOE            , 2005-2013
CA006141095 ,    43.333,   -80.317, YYY...., CAMBRIDGE GALT MOE       , 1945-1949;1966-1973
CA006141100 ,    43.350,   -80.300, ..Y...., CAMBRIDGE-STEWART        , 
CA006141919 ,    43.417,   -81.333, YYY...., CROMARTY                 , 
CA006141933 ,    42.883,   -80.850, YYY...., CULLODEN EASEY           , 
CA006142066 ,    43.000,   -81.033, ..Y...., DORCHESTER               , 
CA006142285 ,    43.650,   -80.417, YYY...., ELORA RESEARCH STN       , 
CA006142286 ,    43.650,   -80.417, YYY...., ELORA RCS                , 
CA006142295 ,    43.250,   -80.933, ..Y...., EMBRO INNES              , 
CA006142400 ,    43.733,   -80.333, YYY...., FERGUS SHAND DAM         , 
CA006142402 ,    43.700,   -80.383, YYY...., FERGUS MOE               , 1960-1965
CA006142420 ,    43.017,   -80.783, YYY...., FOLDENS                  , 
CA006142798 ,    42.883,   -81.200, ..Y...., GLANWORTH CFPL           , 
CA006142803 ,    43.683,   -80.717, YYY...., GLEN ALLAN               , 
CA006142991 ,    43.883,   -80.333, YYY...., GRAND VALLEY WPCP        , 
CA006143069 ,    43.550,   -80.217, YYY...., GUELPH ARBORETUM         , 
CA006143083 ,    43.517,   -80.233, YYY...., GUELPH OAC               , 
CA006143722 ,    43.050,   -81.433, YYY...., ILDERTON BEAR CREEK      , 
CA006144232 ,    43.433,   -80.500, YYY...., KITCHENER                , 
CA006144475 ,    43.033,   -81.150, YYY...., LONDON INT'L AIRPORT     , 2002-2018
CA006144478 ,    43.033,   -81.150, YYY...., LONDON CS                , 
CA006144500 ,    43.033,   -81.283, ..Y...., LONDON SHARON DRIVE      , 
CA006145267 ,    43.967,   -80.400, YYY...., MONTICELLO               , 1993-1996
CA006145495 ,    43.467,   -80.117, ..Y...., MORRISTON                , 
CA006145503 ,    43.983,   -80.750, YYY...., MOUNT FOREST             , 
CA006146563 ,    43.150,   -81.200, ..Y...., POPLAR MILLS             , 
CA006146711 ,    43.400,   -80.417, YYY...., PRESTON                  , 
CA006146714 ,    43.383,   -80.350, ..Y...., PRESTON WPCP             , 
CA006146939 ,    44.233,   -80.217, YYY...., REDICKVILLE              , 
CA006147188 ,    43.350,   -80.467, YYY...., ROSEVILLE                , 
CA006147229 ,    44.233,   -80.133, YYY...., RUSKVIEW                 , 
CA006147664 ,    43.000,   -80.433, ..Y...., SCOTLAND                 , 
CA006148100 ,    43.383,   -81.000, YYY...., STRATFORD                , 
CA006148105 ,    43.367,   -81.000, YYY...., STRATFORD WWTP           , 2006-2017
CA006148120 ,    42.950,   -81.650, YYY...., STRATHROY                , 
CA006148122 ,    42.983,   -81.650, YYY...., STRATHROY-MULLIFARRY     , 
CA006148212 ,    43.317,   -80.833, ..Y...., TAVISTOCK                , 
CA006149386 ,    43.483,   -80.517, ..Y...., WATERLOO WPCP            , 
CA006149387 ,    43.450,   -80.383, YYY...., WATERLOO WELLINGTON A    , 
CA006149455 ,    42.917,   -81.217, YYY...., WESTMINSTER TWP WPCP     , 
CA006149625 ,    43.133,   -80.767, YYY...., WOODSTOCK                , 2006-2014
CA006150100 ,    43.933,   -79.833, ..Y...., ALBION                   , 
CA006150103 ,    43.917,   -79.833, YYY...., ALBION FIELD CENTRE      , 1997-2003
CA006150135 ,    43.317,   -79.867, ..Y...., ALDERSHOT                , 
CA006150689 ,    44.150,   -77.400, YYY...., BELLEVILLE               , 
CA006150790 ,    44.100,   -78.833, YYY...., BLACKSTOCK               , 
CA006150815 ,    43.983,   -77.217, ..Y...., BLOOMFIELD               , 
CA006150816 ,    43.983,   -77.250, ..Y...., BLOOMFIELD WEST          , 1978-1982
CA006150830 ,    43.917,   -78.667, YYY...., BOWMANVILLE MOSTERT      , 
CA006150863 ,    44.033,   -79.600, YYY...., BRADFORD MUCK RESEARCH   , 
CA006150913 ,    43.700,   -79.767, YYY...., BRAMPTON                 , 
CA006151042 ,    44.033,   -78.800, YYY...., BURKETON MCLAUGHLIN      , 
CA006151053 ,    43.350,   -79.800, YYY...., BURLINGTON               , 
CA006151064 ,    43.333,   -79.833, YYY...., BURLINGTON TS            , 
CA006151137 ,    44.300,   -77.800, ..Y...., CAMPBELLFORD             , 1940-1944
CA006151309 ,    44.400,   -76.900, YYY...., CENTREVILLE              , 
CA006151512 ,    43.283,   -80.017, ..Y...., CHRISTIE CONSERVATION    , 
CA006151545 ,    43.950,   -79.067, ..Y...., CLAREMONT                , 
CA006151548 ,    43.517,   -79.617, YYY...., CLARKSON                 , 
CA006151689 ,    43.967,   -78.183, YYY...., COBOURG STP              , 1969-1973;2010-2015
CA006151750 ,    43.917,   -79.700, ..Y...., COLD CREEK               , 
CA006151866 ,    43.250,   -80.117, YYY...., COPETOWN                 , 
CA006151915 ,    43.617,   -80.100, ..Y...., CREWSONS CORNERS         , 
CA0061519JM ,    44.100,   -76.850, YYY...., CRESSY                   , 
CA006152335 ,    43.567,   -79.650, ..Y...., ERINDALE                 , 
CA006152555 ,    44.233,   -77.600, ..Y...., FRANKFORD MOE            , 
CA006152605 ,    43.817,   -79.083, ..Y...., FRENCHMANS BAY           , 
CA006152691 ,    43.650,   -79.950, YYY...., GEORGETOWN               , 
CA006152695 ,    43.633,   -79.883, YYY...., GEORGETOWN WWTP          , 2006-2015
CA006152833 ,    43.933,   -79.950, ..Y...., GLEN HAFFY MONO MILLS    , 
CA006152950 ,    44.133,   -78.217, ..Y...., GORES LANDING            , 
CA006152953 ,    43.867,   -79.383, YYY...., GORMLEY ARDENLEE         , 
CA006153020 ,    43.900,   -79.067, ..Y...., GREENWOOD MTRCA          , 1959-1966
CA006153194 ,    43.167,   -79.933, YYY...., HAMILTON A               , 
CA006153290 ,    43.250,   -79.767, YYY...., HAMILTON MUNICIPAL LAB   , 
CA006153298 ,    43.233,   -79.900, YYY...., HAMILTON PSYCH HOSPITAL  , 
CA006153300 ,    43.283,   -79.883, YYY...., HAMILTON RBG             , 
CA006153301 ,    43.300,   -79.917, YYY...., HAMILTON RBG CS          , 
CA006153410 ,    43.733,   -79.783, ..Y...., HEART LAKE               , 
CA006153853 ,    44.217,   -78.633, YYY...., JANETVILLE               , 
CA006153935 ,    44.650,   -77.117, YYY...., KALADAR                  , 
CA006154135 ,    43.900,   -79.617, YYY...., KING CREEK               , 
CA006154142 ,    44.017,   -79.517, YYY...., KING SMOKE TREE          , 
CA006154310 ,    43.567,   -79.567, YYY...., LAKEVIEW MOE             , 
CA006154410 ,    44.017,   -78.650, ..Y...., LESKARD                  , 
CA006154820 ,    43.933,   -76.633, YYY...., MAIN DUCK ISLAND         , 
CA006154950 ,    43.867,   -79.483, ..Y...., MAPLE                    , 
CA006154992 ,    43.867,   -79.250, YYY...., MARKHAM MOE              , 
